INFO  - 2014-01-30 14:26:04.376; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692071752728576)]} 0 1
INFO  - 2014-01-30 14:26:04.383; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692071760068608)]} 0 0
INFO  - 2014-01-30 14:26:04.391; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692071768457216)]} 0 1
INFO  - 2014-01-30 14:26:04.398; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692071775797248)]} 0 1
INFO  - 2014-01-30 14:26:04.405; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692071782088704)]} 0 1
INFO  - 2014-01-30 14:26:04.412; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692071789428736)]} 0 1
INFO  - 2014-01-30 14:26:04.419; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692071796768768)]} 0 1
INFO  - 2014-01-30 14:26:04.426; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692071805157376)]} 0 0
INFO  - 2014-01-30 14:26:04.433; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692071812497408)]} 0 0
INFO  - 2014-01-30 14:26:04.441; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692071820886016)]} 0 0
INFO  - 2014-01-30 14:26:04.448; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692071828226048)]} 0 0
